,property_type,state,lat,lon,area_m2,price_usd
183,house,Puebla,18.983.141,-98.265.739,135.0,42149.18
184,house,Estado de México,192.826.098,-996.556.653,90.0,56387.9
186,house,Tamaulipas,224.107.891,-979.342.897,176.0,60603.82
187,house,Tabasco,18.263.374,-93.179.222,104.0,39514.86
188,house,Distrito Federal,19.396.669,-99.067.626,220.0,110050.31
189,house,Yucatán,21.039.522,-89.563.911,174.0,65858.1
190,house,Estado de México,19.545.097,-9.921.289,233.0,171306.94
191,apartment,Puebla,19.054.064,-98.245.911,95.0,84318.36
192,house,Estado de México,1.962.378,-99.199.085,153.0,108007.29
193,house,Sinaloa,23.240.411,-106.432.565,189.0,63118.4
194,apartment,Distrito Federal,19.452.331,-99.177.162,90.0,73234.21
195,house,Quintana Roo,21.129.547,-86.817.017,275.0,173865.39
197,apartment,Distrito Federal,19.342.083,-990.532.159,86.0,90115.25
198,house,Nuevo León,25.702.822,-100.304.192,148.0,94594.66
200,house,Veracruz de Ignacio de la Llave,19.563.358,-96.939.697,110.0,39524.23
201,house,Veracruz de Ignacio de la Llave,19.205.341,-96.197.784,130.0,84298.37
202,house,Yucatán,210.424.858,-895.568.382,185.0,76677.01
203,apartment,Guerrero,16.829.584,-999.083,154.0,114487.72
204,house,Querétaro,20.726.007,-100.442.642,273.0,181811.47
205,house,San Luis Potosí,23.634.501,-102.552.788,187.0,94308.8
206,house,Distrito Federal,19.395.069,-99.204.927,110.0,84825.23
207,apartment,Distrito Federal,19.400.004,-9.916.735,94.0,217911.29
208,house,Tabasco,17.979.631,-92.965.249,100.0,65858.1
209,house,Querétaro,205.887.932,-1.003.898.881,84.0,49537.03
210,house,Yucatán,21.006.756,-89.570.984,162.0,76413.51
211,house,Yucatán,21.013.465,-89.591.041,239.0,283558.65
212,house,Chiapas,19.671.066,-101.213.341,175.0,92201.34
213,house,Veracruz de Ignacio de la Llave,181.495.073,-944.422,200.0,158096.93
214,house,Nuevo León,257.418.083,-1.004.057.781,211.0,124501.99
215,house,Yucatán,20.968.147,-89.629.875,123.0,41095.45
216,house,Tamaulipas,222.621.259,-978.238.578,141.0,78502.86
218,house,Jalisco,20.767.952,-10.340.899,148.0,96363.57
220,house,Morelos,18.795.519,-99.231.445,150.0,67438.69
221,apartment,Distrito Federal,19.449.392,-99.138.544,70.0,42676.05
222,apartment,Quintana Roo,211.564.082.129,-868.488.141.149,95.0,68508.67
223,house,Tamaulipas,223.160.889,-978.884.841,165.0,76940.5
224,apartment,Distrito Federal,19.486.255,-99.214.043,65.0,46890.97
226,apartment,Distrito Federal,1.936.594,-99.163.153,85.0,106848.18
227,house,Veracruz de Ignacio de la Llave,19.146.434,-96.161.783,91.0,42149.18
232,house,Yucatán,21.035.221,-89.635.757,204.0,93781.94
233,house,Guerrero,168.643.286.803,-998.879.082.142,170.0,115937.75
234,house,Querétaro,20.726.007,-100.442.642,180.0,109324.45
235,house,Sinaloa,23.261.934,-106.408.936,124.0,67702.13
236,house,Quintana Roo,21.139.086,-8.684.964,66.0,36880.53
237,house,Veracruz de Ignacio de la Llave,25.535.524,-103.379.302,276.0,63223.78
239,house,Yucatán,210.043.658,-895.614.233,79.0,36889.28
240,apartment,Distrito Federal,19.364.613,-99.161.892,70.0,93255.07
241,apartment,Distrito Federal,19.366.505,-99.222.297,72.0,64281.19
243,house,Querétaro,206.521.079,-1.003.491.545,250.0,144922.18
244,house,Yucatán,210.350.497.573,-895.990.741.253,137.0,78995.76
245,apartment,Distrito Federal,19.354.947,-99.087.529,65.0,37386.32
246,house,Yucatán,21.008.295,-89.591.019,142.0,91169.23
247,house,Querétaro,206.476.044,-10.035.253,150.0,104319.23
248,house,Yucatán,21.030.668,-89.599.258,305.0,184182.92
249,house,Distrito Federal,19.371.317,-99.140.957,300.0,123981.3
250,apartment,Veracruz de Ignacio de la Llave,191.356.101,-961.142.685,105.0,50064.02
251,apartment,Distrito Federal,19.377.169,-99.187.643,90.0,56514.99
252,apartment,Distrito Federal,19.381.591,-99.165.397,124.0,270872.74
255,house,Yucatán,21.039.522,-89.563.911,230.0,92223.21
256,house,Jalisco,20.755.833,-103.413.251,180.0,144887.83
259,house,Estado de México,1.927.223,-99.575.691,300.0,184446.42
260,apartment,Veracruz de Ignacio de la Llave,19.191.416,-96.127.518,70.0,62448.28
261,house,San Luis Potosí,22.121.187,-100.951.736,154.0,57968.87
262,house,Tabasco,17.987.557,-92.929.147,150.0,71126.75
265,house,Estado de México,194.653.884,-995.940.417,70.0,39524.23
266,house,Morelos,188.493.694,-989.479.805,250.0,84298.37
267,house,Yucatán,210.529.434.814,-896.679.210.663,141.0,62975.27
268,house,Morelos,18.942.068,-99.242.531,320.0,289844.37
269,house,Guerrero,16.808.875,-99.821.739,104.0,102738.64
270,apartment,Estado de México,19.531.773,-99.245.873,174.0,326656.19
271,house,Tamaulipas,25.860.595,-97.504.808,212.0,71126.75
272,house,Guanajuato,211.666.103,-1.016.315.416,210.0,131716.2
273,house,Morelos,18.882.006,-99.148.384,240.0,100104.31
274,apartment,Puebla,19.002.178,-98.271.063,87.0,173986.78
275,house,Estado de México,19.425.918,-99.230.123,300.0,215222.62
277,house,Morelos,188.736.789,-991.922.665,257.0,188398.84
278,house,San Luis Potosí,22.186.096,-101.005.652,240.0,144887.83
280,house,Yucatán,21.075.163,-89.516.731,189.0,86932.69
282,house,Puebla,18.984.862,-98.222.234,289.0,226551.88
283,apartment,Distrito Federal,193.650.311,-991.477.363,83.0,139652.29
284,apartment,Morelos,18.917.393,-99.221.062,127.0,57955.13
285,house,Distrito Federal,19.399.375,-99.149.986,95.0,246994.23
286,house,Baja California,325.622.552,-1.153.169.575,75.0,42149.18
287,apartment,Distrito Federal,19.452.689,-99.117.987,60.0,36269.27
288,house,Distrito Federal,19.336.104,-99.101.761,70.0,50087.3
289,house,Zacatecas,23.634.501,-102.552.788,138.0,63223.78
291,house,Jalisco,20.567.506,-10.348.332,149.0,110588.92
292,house,Nayarit,20.722.561,-105.270.132,84.0,39514.86
294,apartment,Distrito Federal,193.987.957,-991.594.498,110.0,274034.68
295,house,San Luis Potosí,221.176.282.971,-101.015.124.321,380.0,266066.74
296,house,Yucatán,21.006.756,-89.570.984,90.0,39462.17
297,house,Veracruz de Ignacio de la Llave,25.510.739,-103.357.425,140.0,39514.86
298,house,Tamaulipas,222.695.545,-978.750.355,140.0,71301.71
300,house,Estado de México,193.308.425,-995.817.205,140.0,121207.64
301,house,Estado de México,192.398.293,-99.617.673,332.0,242415.29
302,house,Estado de México,194.689.569,-992.727.792,372.0,144887.83
303,house,Morelos,18.917.542,-98.963.181,200.0,131747.44
306,house,Tabasco,179.728.054.562,-929.515.487.516,134.0,104343.97
307,house,Nuevo León,2.579.255,-100.274.638,159.0,74972.86
308,apartment,Distrito Federal,193.928.136,-991.738.213,112.0,312957.71
309,house,Sinaloa,24.804.811,-10.746.476,95.0,47417.83
310,house,Aguascalientes,21.905.983,-102.286.817,157.0,41622.32
311,house,Morelos,18.900.945,-99.232.574,279.0,142253.5
312,house,Tamaulipas,222.900.902,-978.437.788,75.0,34254.33
313,apartment,Distrito Federal,19.375.374,-99.137.657,80.0,34077.61
314,house,Nuevo León,25.660.711,-100.289.459,222.0,118544.58
316,apartment,Puebla,190.206.582.554,-982.238.459.587,100.0,103606.19
317,house,Yucatán,209.608.384.839,-896.215.687.395,160.0,52159.61
318,apartment,Distrito Federal,19.409.369,-99.171.906,83.0,263494.89
320,house,Nuevo León,257.584.835,-1.004.052.434,131.0,92023.21
321,house,Nuevo León,25.712.547,-100.249.496,210.0,83000.89
322,house,Yucatán,210.511.962.595,-895.385.822.654,168.0,80112.98
324,house,Puebla,190.927.640.219,-982.267.805.468,100.0,51644.99
326,house,Jalisco,20.792.152,-103.475.021,104.0,39514.86
327,house,Guanajuato,21.121.012,-101.600.136,207.0,121207.64
329,house,San Luis Potosí,221.830.772.497,-1.010.302.325.338,92.0,34781.32
330,apartment,Distrito Federal,19.404.032,-99.179.694,103.0,209902.95
332,house,Morelos,18.814.863,-99.211.439,97.0,68492.42
333,apartment,Distrito Federal,19.368.544,-99.163.605,105.0,284507.01
334,house,Puebla,190.550.344,-982.731.403,330.0,189716.32
335,house,Yucatán,210.430.781.672,-89.551.603.049,190.0,89061.27
336,house,Estado de México,19.699.144,-98.978.363,180.0,68492.42
337,apartment,Distrito Federal,19.341.894,-99.224.525,96.0,156958.3
338,house,Querétaro,20.596.285,-100.357.695,300.0,144887.83
340,apartment,Puebla,19.035.632,-98.223.132,92.0,109587.88
341,house,Puebla,190.217.424,-982.604.216,215.0,155461.98
342,house,Chiapas,19.987.465,-102.284.888,330.0,210745.93
343,apartment,Morelos,18.957.352,-99.260.544,76.0,52698.97
344,house,Morelos,18.845.494,-9.920.547,136.0,71765.83
345,apartment,Distrito Federal,19.366.901,-99.297.272,65.0,109387.67
346,house,San Luis Potosí,221.840.801.528,-1.010.286.072.441,110.0,39830.98
347,house,Estado de México,19.615.452,-99.206.348,70.0,47681.26
348,house,Estado de México,19.590.134,-99.280.419,100.0,44783.51
349,house,Distrito Federal,19.473.907,-99.177.444,320.0,91042.24
350,house,San Luis Potosí,22.149.093,-100.889.863,180.0,45321.12
352,house,Estado de México,19.641.889,-991.774.462,250.0,79048.46
353,house,Veracruz de Ignacio de la Llave,19.089.373,-96.130.805,168.0,94835.67
354,house,Querétaro,20.606.224,-100.329.168,165.0,97469.99
355,house,Yucatán,21.001.256,-89.600.723,325.0,183296.27
358,apartment,Nuevo León,257.302.897,-1.003.965.403,160.0,104497.22
360,house,Puebla,19.004.742,-98.235.992,180.0,63223.78
361,house,Morelos,18.920.158,-99.180.214,85.0,48734.99
362,house,Morelos,18.916.586,-99.214.371,272.0,262967.9
363,house,Puebla,19.063.091,-98.296.013,252.0,130873.22
364,apartment,Distrito Federal,19.371.321,-99.140.985,84.0,93465.82
365,apartment,Puebla,190.378.006,-983.007.086,120.0,166001.78
366,apartment,Distrito Federal,19.362.824,-99.266.178,162.0,210745.93
367,house,Chiapas,16.780.325,-93.119.637,180.0,105372.96
368,house,Yucatán,21.039.522,-89.563.911,178.0,60076.83
369,apartment,Distrito Federal,19.465.454,-99.162.665,69.0,75375.18
370,house,Jalisco,20.700.756,-103.333.385,300.0,94308.8
371,house,Baja California Sur,22.886.851,-109.946.872,94.0,50485.62
372,house,Querétaro,20.549.404,-100.378.563,110.0,76395.4
373,house,Distrito Federal,19.353.288,-99.244.721,150.0,136405.3
374,house,Estado de México,19.278.994,-99.559.006,136.0,89567.02
375,house,Puebla,18.985.191,-98.186.447,148.0,105372.96
376,apartment,Jalisco,2.067.603,-103.425.418,125.0,157479.9
379,apartment,Guerrero,168.763.009.074,-998.829.327.151,88.0,39260.73
380,house,Nayarit,21.525.436,-104.923.553,115.0,47429.08
381,apartment,Chiapas,16.748.743,-93.066.491,73.0,43202.91
382,apartment,Distrito Federal,19.432.657,-99.177.444,150.0,135085.08
383,house,Querétaro,20.618.279,-100.346.985,160.0,99601.06
384,house,Estado de México,1.972.876,-99.461.708,236.0,237145.4
385,house,Veracruz de Ignacio de la Llave,2.551.506,-103.413.092,230.0,44783.51
387,house,Querétaro,20.419.854,-99.998.039,89.0,40568.59
388,house,Morelos,18.804.197,-98.932.816,117.0,65858.1
389,apartment,San Luis Potosí,22.133.104,-100.982.117,100.0,53740.21
390,apartment,Distrito Federal,19.400.249,-99.177.444,150.0,273969.71
392,house,Yucatán,2.103.071,-89.618.103,382.0,223970.65
393,house,Jalisco,20.649.154,-105.202.538,90.0,33719.34
394,house,Baja California,32.426.032,-117.033.916,140.0,62570.46
395,house,Tamaulipas,26.058.614,-98.322.969,252.0,66933.76
396,house,Veracruz de Ignacio de la Llave,25.599.048,-103.412.397,189.0,64277.51
397,house,Baja California Sur,24.129.181,-11.031.971,110.0,68492.42
398,house,Tamaulipas,22.238.298,-97.841.892,200.0,110641.61
399,house,Puebla,19.046.561,-98.190.349,110.0,100735.92
400,apartment,Distrito Federal,19.451.872,-99.173.522,70.0,66911.83
401,house,Estado de México,19.253.367,-99.606.303,260.0,324021.87
402,house,Sonora,290.287.123,-11.097.103,200.0,47417.83
403,apartment,Distrito Federal,194.556.947.061,-991.635.761.259,76.0,121355.2
404,house,Jalisco,207.670.434,-1.033.941.011,195.0,135931.12
405,apartment,Distrito Federal,19.336.195,-9.923.692,100.0,74920.17
407,house,San Luis Potosí,221.564.699,-1.009.855.409,110.0,39524.23
409,house,Yucatán,210.634.817,-896.110.378,296.0,137017.34
410,house,Yucatán,21.135.925,-896.446.768,200.0,79029.72
411,house,Querétaro,20.547.818,-100.407.691,80.0,51632.75
412,house,Morelos,18.954.132,-99.266.083,210.0,86932.69
413,house,Quintana Roo,21.152.508,-86.850.891,180.0,89040.15
414,house,Morelos,18.882.725,-99.163.605,112.0,86953.31
415,house,Tabasco,1.797.423,-92.923.836,60.0,34246.21
416,house,Chiapas,16.740.764,-93.089.951,148.0,84298.37
417,house,Nuevo León,25.764.894,-100.264.221,160.0,65858.1
418,apartment,Querétaro,2.060.782,-100.366.721,110.0,131716.2
419,house,Distrito Federal,19.469.688,-99.085.456,248.0,176541.57
420,apartment,Distrito Federal,192.711.236.877,-992.088.389.397,72.0,40645.77
421,apartment,Jalisco,20.723.133,-103.418.115,84.0,178080.31
423,house,Chiapas,1.676.764,-93.178.283,250.0,173865.39
424,house,Yucatán,209.673.702,-895.925.857,290.0,123315.6
425,house,Yucatán,21.017.197,-89.574.516,158.0,102763.0
426,house,Morelos,18.862.602,-99.213.448,320.0,173906.62
427,house,Veracruz de Ignacio de la Llave,19.123.617,-96.113.161,220.0,99577.45
428,house,Distrito Federal,19.355.938,-99.129.918,200.0,315618.38
429,house,Baja California Sur,1.935.913,-98.983.431,189.0,62696.91
430,house,Yucatán,20.989.016,-89.632.225,300.0,131747.44
433,house,Veracruz de Ignacio de la Llave,25.453.195,-100.935.486,203.0,94818.28
434,house,Yucatán,20.938.659,-89.615.316,173.0,50052.15
435,house,Tamaulipas,22.270.658,-97.849.037,263.0,176541.57
436,house,Chiapas,1.678.141,-93.096.451,87.0,51381.5
438,house,Chiapas,19.691.938,-101.176.615,220.0,155425.12
439,house,Estado de México,1.964.079,-99.098.691,105.0,68492.42
440,apartment,Puebla,19.011.347,-98.246.264,139.0,179134.04
441,house,Jalisco,20.647.029,-103.454.953,122.0,77975.99
442,house,Morelos,18.905.066,-99.224.869,120.0,121178.91
443,house,Veracruz de Ignacio de la Llave,190.668.128.782,-960.734.760.761,271.0,173865.39
445,house,Querétaro,20.705.742,-100.444.016,350.0,184446.42
446,house,Estado de México,1.954.323,-99.222.374,181.0,154950.94
447,house,Sinaloa,248.090.649,-1.073.940.117,212.0,112222.21
448,house,Tamaulipas,25.872.879,-97.509.221,287.0,115910.26
449,house,Distrito Federal,19.373.264,-99.104.161,250.0,135430.6
450,apartment,Distrito Federal,19.383.952,-99.160.229,100.0,174140.42
451,house,Chiapas,16.757.278,-93.134.056,298.0,181084.17
452,house,Tamaulipas,22.320.061,-9.786.808,67.0,35835.3
453,house,Guanajuato,205.834.364.154,-1.011.981.904.507,180.0,131747.44
454,apartment,Distrito Federal,19.396.018,-99.147.827,80.0,183989.52
455,house,Chiapas,19.646.418,-101.238.213,153.0,97469.99
456,house,Estado de México,195.896.123,-992.907.617,60.0,34254.33
457,house,Querétaro,20.631.845,-100.390.495,315.0,237089.17
459,house,Baja California Sur,24.083.153,-110.303.329,65.0,33358.45
460,house,Veracruz de Ignacio de la Llave,19.144.342,-96.139.002,140.0,68492.42
461,house,Estado de México,19.272.027,-99.553.293,107.0,71653.61
464,house,Hidalgo,201.010.608,-987.591.311,320.0,192305.66
465,house,Veracruz de Ignacio de la Llave,181.495.449.022,-945.140.772.966,104.0,57955.13
466,apartment,Distrito Federal,19.333.901,-99.240.356,85.0,179134.04
467,apartment,Distrito Federal,19.390.031,-99.174.182,108.0,209692.2
468,house,Nuevo León,25.781.807,-100.187.794,155.0,65858.1
470,house,Querétaro,207.012.562,-1.004.654.217,295.0,187081.37
471,apartment,Distrito Federal,19.365.834,-99.263.505,126.0,180187.77
472,house,Yucatán,209.637.793,-896.612.548,249.0,44783.51
473,apartment,Estado de México,19.404.701,-99.292.419,300.0,284047.49
474,house,Veracruz de Ignacio de la Llave,18.879.525,-96.921.847,123.0,55320.8
475,house,Puebla,18.978.682,-98.250.015,162.0,88513.29
476,house,Querétaro,206.205.869,-100.388.042,322.0,209955.63
479,apartment,Nuevo León,25.654.263,-100.297.874,114.0,55333.92
480,house,Estado de México,19.180.459,-99.590.174,175.0,134382.39
481,apartment,Durango,24.010.702,-104.613.602,88.0,43213.16
482,apartment,Distrito Federal,19.474.655,-99.189.277,60.0,40041.72
483,apartment,Querétaro,2.065.449,-100.384.446,160.0,250320.14
484,house,Veracruz de Ignacio de la Llave,25.569.556,-103.383.702,244.0,101158.04
485,house,Morelos,18.813.505,-98.953.514,66.0,34246.21
486,house,Quintana Roo,21.118.165,-86.880.921,189.0,118544.58
487,apartment,Tabasco,17.972.448,-92.960.579,104.0,57968.87
488,house,Veracruz de Ignacio de la Llave,19.165.146,-96.160.652,220.0,139619.18
