property_type,state,region,lat,lon,area_m2,price_brl
apartment,Pernambuco,Northeast,-8.117.513,-34.899.639,129.0,758577.03
apartment,Pernambuco,Northeast,-8.117.513,-34.899.639,129.0,1048034.05
apartment,Pernambuco,Northeast,-8.034.344,-34.896.725,67.0,439176.16
apartment,Pernambuco,Northeast,-8.035.971,-34.895.073,135.0,848408.53
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,,978165.11
apartment,Pernambuco,Northeast,-8.125.065,-34.906.685,70.0,429194.89
apartment,Pernambuco,Northeast,-8.032.252,-34.893.612,134.0,678726.79
apartment,Pernambuco,Northeast,-8.041.807,-34.894.043,105.0,558951.47
apartment,Pernambuco,Northeast,-8.119.507,-34.895.363,200.0,1097940.43
apartment,Pernambuco,Northeast,-8.183.491,-34.921.719,148.0,588895.33
apartment,Pernambuco,Northeast,-8.183.491,-34.921.719,238.0,748595.73
apartment,Pernambuco,Northeast,-8.103.477,-34.888.622,140.0,948221.29
apartment,Pernambuco,Northeast,-82.027.839,-349.170.501,58.0,279475.72
apartment,Pernambuco,Northeast,-80.584.269,-348.834.188,118.0,279475.72
apartment,Pernambuco,Northeast,-8.043.853,-34.907.928,203.0,1349987.64
apartment,Pernambuco,Northeast,-8.183.698,-34.931.366,53.0,364316.6
apartment,Pernambuco,Northeast,-81.423.048,-349.096.799,,329382.13
apartment,Pernambuco,Northeast,-81.440.884,-34.908.476,75.0,449157.45
apartment,Pernambuco,Northeast,-8.108.721,-34.897.616,101.0,598876.59
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,58.0,319400.84
apartment,Pernambuco,Northeast,-81.431.534,-34.904.241,,648782.97
apartment,Pernambuco,Northeast,-81.404.559,-34.907.893,94.0,299438.28
apartment,Pernambuco,Northeast,-81.098.693,-34.897.672,,299438.28
apartment,Pernambuco,Northeast,-81.098.693,-34.897.672,,319400.84
apartment,Pernambuco,Northeast,-8.040.233,-34.898.281,,648782.97
apartment,Pernambuco,Northeast,-802.765,-34.920.338,64.0,359325.95
apartment,Pernambuco,Northeast,-8.192.952,-34.931.366,64.0,239550.63
apartment,Pernambuco,Northeast,-8.152.399,-34.920.338,148.0,648782.97
apartment,Pernambuco,Northeast,-81.869.427,-355.808.245,,259513.19
apartment,Pernambuco,Northeast,-8.041.209,-34.895.039,94.0,399251.07
apartment,Pernambuco,Northeast,-80.347.457,-348.972.145,128.0,738614.47
apartment,Pernambuco,Northeast,-8.035.595,-34.921.719,216.0,1497191.5
apartment,Pernambuco,Northeast,-8.129.817,-34.914.825,135.0,698689.35
apartment,Pernambuco,Northeast,-8.109.441,-34.898.106,130.0,698689.35
apartment,Pernambuco,Northeast,-81.230.628,-34.903.959,,489082.54
apartment,Pernambuco,Northeast,-80.331.805,-348.968.813,,964534.63
apartment,Pernambuco,Northeast,-80.373.731,-348.971.001,145.0,748595.73
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,112.0,731015.72
apartment,Pernambuco,Northeast,-8.033.863,-34.918.545,200.0,1616966.85
apartment,Pernambuco,Northeast,-8.108.315,-34.898.277,108.0,798502.15
apartment,Pernambuco,Northeast,-8.113.885,-3.489.584,,798502.15
apartment,Pernambuco,Northeast,-8.115.533,-34.896.854,86.0,748595.73
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,135.0,648782.97
apartment,Pernambuco,Northeast,-8.040.929,-34.888.283,60.0,466125.61
apartment,Pernambuco,Northeast,-8.038.549,-34.901.844,75.0,369307.22
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,180.0,898314.91
apartment,Pernambuco,Northeast,-80.620.223,-348.971.463,93.0,349344.66
apartment,Pernambuco,Northeast,-80.373.731,-348.971.001,110.0,807676.27
apartment,Pernambuco,Northeast,-81.208.606,-34.899.662,175.0,858389.79
apartment,Pernambuco,Northeast,-81.460.785,-34.906.419,170.0,798502.15
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,67.0,399251.07
apartment,Pernambuco,Northeast,-8.089.291,-34.903.793,119.0,865070.26
apartment,Pernambuco,Northeast,-8.183.491,-34.921.719,54.0,299438.28
apartment,Pernambuco,Northeast,-8.046.962,-34.899.654,100.0,598876.59
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,73.0,409232.33
apartment,Pernambuco,Northeast,-81.092.891,-34.907.094,73.0,389269.77
apartment,Pernambuco,Northeast,-8.028.039,-348.992.006,,329382.13
apartment,Pernambuco,Northeast,-80.938.881,-34.883.418,66.0,439176.16
apartment,Pernambuco,Northeast,-809.607,-34.884.548,145.0,469120.01
apartment,Pernambuco,Northeast,-81.460.785,-34.906.419,167.0,848408.53
apartment,Pernambuco,Northeast,-8.004.057,-34.841.721,75.0,399251.07
apartment,Pernambuco,Northeast,-8.034.344,-34.896.725,55.0,359325.95
apartment,Pernambuco,Northeast,-80.508.763,-349.113.739,155.0,1147846.81
house,Pernambuco,Northeast,-8.049.178,-34.924.473,200.0,848408.53
apartment,Pernambuco,Northeast,-80.310.293,-349.275.023,140.0,948221.29
house,Pernambuco,Northeast,-80.314.434,-3.492.159,190.0,1077977.9
apartment,Pernambuco,Northeast,-8.044.832,-34.910.873,65.0,367310.97
apartment,Pernambuco,Northeast,-8.089.291,-34.903.793,109.0,836430.98
apartment,Pernambuco,Northeast,-8.108.554,-34.891.766,102.0,778539.59
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,165.0,598876.59
apartment,Pernambuco,Northeast,-8.034.408,-34.893.291,,988146.4
apartment,Pernambuco,Northeast,-80.369,-34.884.521,65.0,348346.53
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,95.0,598876.59
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,86.0,568932.77
apartment,Pernambuco,Northeast,-81.241.574,-349.000.543,74.0,474509.81
apartment,Pernambuco,Northeast,-81.937.545,-349.228.696,63.0,312974.53
apartment,Pernambuco,Northeast,-81.416.581,-349.099.297,125.0,636045.06
apartment,Pernambuco,Northeast,-81.103.967,-349.063.162,110.0,610805.16
apartment,Pernambuco,Northeast,-81.103.967,-349.063.162,120.0,686524.82
apartment,Pernambuco,Northeast,-81.978.842,-3.492.564,64.0,254522.54
apartment,Pernambuco,Northeast,-81.118.458,-348.947.337,158.0,1110554.87
apartment,Pernambuco,Northeast,-80.955.108,-34.884.688,156.0,1144881.1
apartment,Pernambuco,Northeast,-80.944.065,-34.883.792,123.0,989403.42
apartment,Pernambuco,Northeast,-81.294.021,-349.056.294,63.0,424030.02
house,Pernambuco,Northeast,-8.183.491,-34.921.719,250.0,648782.97
apartment,Pernambuco,Northeast,-8.094.985,-34.892.761,240.0,1116829.6
apartment,Pernambuco,Northeast,-81.263.587,-34.905.748,130.0,588895.33
apartment,Pernambuco,Northeast,-81.207.496,-34.899.219,120.0,349344.66
apartment,Pernambuco,Northeast,-81.435.997,-34.909.065,103.0,489082.54
apartment,Pernambuco,Northeast,-8.034.344,-34.896.725,82.0,578914.03
apartment,Pernambuco,Northeast,-80.288.008,-349.190.997,,868371.08
apartment,Pernambuco,Northeast,-8.046.962,-34.899.654,100.0,364316.6
apartment,Pernambuco,Northeast,-8.044.034,-348.955.201,170.0,678726.79
apartment,Pernambuco,Northeast,-8.062.398,-34.904.552,140.0,798502.15
apartment,Pernambuco,Northeast,-8.034.104,-3.489.806,,711665.02
apartment,Pernambuco,Northeast,-8.027.134,-34.901.733,108.0,529007.65
apartment,Pernambuco,Northeast,-81.103.967,-349.063.162,142.0,747100.55
apartment,Pernambuco,Northeast,-81.103.967,-349.063.162,170.0,908635.8
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,,479101.27
apartment,Pernambuco,Northeast,-8.032.375,-34.906.925,203.0,1177790.66
apartment,Pernambuco,Northeast,-8.062.398,-34.904.552,140.0,848408.53
house,Pernambuco,Northeast,-81.567.832,-34.914.263,250.0,1597004.3
apartment,Pernambuco,Northeast,-8.158.369,-34.920.389,,299438.28
apartment,Pernambuco,Northeast,-8.044.832,-34.910.873,65.0,379288.51
apartment,Pernambuco,Northeast,-81.112.378,-348.958.906,163.0,1211514.4
apartment,Pernambuco,Northeast,-8.033.752,-348.982.362,89.0,686524.82
apartment,Pernambuco,Northeast,-8.033.752,-348.982.362,113.0,832916.14
apartment,Pernambuco,Northeast,-8.043.853,-34.907.928,203.0,1377416.18
apartment,Pernambuco,Northeast,-8.068.109,-34.924.175,75.0,259513.19
apartment,Pernambuco,Northeast,-80.179.739,-34.940.726,58.0,339224.03
apartment,Pernambuco,Northeast,-80.307.507,-34.917.765,68.0,465423.45
apartment,Pernambuco,Northeast,-80.275.469,-349.078.785,66.0,421001.23
apartment,Pernambuco,Northeast,-81.249.136,-349.077.055,56.0,340233.61
apartment,Pernambuco,Northeast,-81.410.578,-349.047.129,140.0,959115.56
apartment,Pernambuco,Northeast,-80.485.123,-349.106.168,62.0,302878.6
apartment,Pernambuco,Northeast,-80.336.819,-348.983.573,127.0,747100.55
apartment,Pernambuco,Northeast,-80.578.381,-34.882.897,131.0,648782.97
apartment,Pernambuco,Northeast,-802.765,-34.920.338,96.0,698689.35
apartment,Pernambuco,Northeast,-8.048.381,-34.908.379,75.0,409232.33
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,150.0,1097940.43
apartment,Pernambuco,Northeast,-80.578.238,-349.126.499,140.0,349344.66
apartment,Pernambuco,Northeast,-814.068,-34.905.975,,698689.35
apartment,Pernambuco,Northeast,-802.765,-34.920.338,105.0,818464.67
apartment,Pernambuco,Northeast,-8.106.074,-34.888.065,94.0,748595.73
apartment,Pernambuco,Northeast,-8.140.393,-34.906.624,128.0,1097940.43
apartment,Pernambuco,Northeast,-8.140.393,-34.906.624,128.0,1048034.05
apartment,Pernambuco,Northeast,-809.607,-34.884.548,90.0,489082.54
apartment,Pernambuco,Northeast,-8.103.477,-34.888.622,230.0,798502.15
apartment,Pernambuco,Northeast,-80.378.897,-349.113.117,122.0,848408.53
apartment,Pernambuco,Northeast,-8.035.595,-34.921.719,106.0,678726.79
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,204.0,1297565.98
apartment,Pernambuco,Northeast,-8.050.071,-3.489.138,,1097940.43
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,91.0,678726.79
apartment,Pernambuco,Northeast,-80.369,-34.884.521,64.0,364316.6
apartment,Pernambuco,Northeast,-81.274.129,-34.905.172,122.0,529007.65
apartment,Pernambuco,Northeast,-80.334.139,-349.089.276,,628820.41
apartment,Pernambuco,Northeast,-80.418.977,-349.456.721,93.0,299438.28
apartment,Pernambuco,Northeast,-8.086.438,-3.489.069,87.0,299438.28
apartment,Pernambuco,Northeast,-8.116.624,-34.899.124,,538988.95
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,,319400.84
apartment,Pernambuco,Northeast,-8.044.757,-3.489.185,110.0,339363.39
apartment,Pernambuco,Northeast,-8.044.204,-34.891.396,147.0,848408.53
apartment,Pernambuco,Northeast,-8.048.158,-34.910.992,,369307.22
apartment,Pernambuco,Northeast,-802.765,-34.920.338,104.0,638801.71
apartment,Pernambuco,Northeast,-8.046.015,-34.910.507,86.0,529007.65
apartment,Pernambuco,Northeast,-8.049.665,-34.931.366,62.0,357931.56
apartment,Pernambuco,Northeast,-8.044.542,-34.894.829,143.0,918277.46
apartment,Pernambuco,Northeast,-80.407.538,-34.888.156,60.0,424204.24
apartment,Pernambuco,Northeast,-802.765,-34.920.338,94.0,538988.95
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,176.0,878352.35
apartment,Pernambuco,Northeast,-8.215.346,-34.927.231,103.0,469120.01
apartment,Pernambuco,Northeast,-8.143.694,-34.906.676,,1367434.92
apartment,Pernambuco,Northeast,-8.035.595,-34.921.719,106.0,648782.97
apartment,Pernambuco,Northeast,-8.115.533,-34.896.854,117.0,519026.39
apartment,Pernambuco,Northeast,-8.113.256,-34.897.057,55.0,449157.45
apartment,Pernambuco,Northeast,-80.576.539,-348.965.881,120.0,299438.28
apartment,Pernambuco,Northeast,-8.034.929,-34.892.761,125.0,788520.85
apartment,Pernambuco,Northeast,-8.034.929,-34.892.761,115.0,828445.97
apartment,Pernambuco,Northeast,-8.040.035,-34.899.654,68.0,309419.57
apartment,Pernambuco,Northeast,-8.034.929,-34.892.761,125.0,819240.24
apartment,Pernambuco,Northeast,-8.047.979,-34.908.512,82.0,479101.27
apartment,Pernambuco,Northeast,-8.035.284,-34.903.919,148.0,768558.29
apartment,Pernambuco,Northeast,-802.765,-34.920.338,57.0,378290.39
apartment,Pernambuco,Northeast,-8.034.104,-3.489.806,113.0,648782.97
apartment,Pernambuco,Northeast,-8.047.052,-34.874.832,80.0,479101.27
apartment,Pernambuco,Northeast,-8.029.394,-34.922.832,85.0,548970.21
apartment,Pernambuco,Northeast,-80.380.508,-348.950.597,,429194.89
apartment,Pernambuco,Northeast,-802.765,-34.920.338,96.0,578914.03
apartment,Pernambuco,Northeast,-8.125.979,-34.903.142,,499063.83
apartment,Pernambuco,Northeast,-81.413.429,-34.907.283,,529007.65
apartment,Pernambuco,Northeast,-81.311.923,-34.905.777,82.0,359325.95
apartment,Pernambuco,Northeast,-81.280.955,-34.906.856,98.0,449157.45
apartment,Pernambuco,Northeast,-81.161.578,-34.893.642,,678726.79
apartment,Pernambuco,Northeast,-81.376.548,-34.905.588,68.0,369307.22
apartment,Pernambuco,Northeast,-8.125.862,-34.904.531,83.0,399251.07
apartment,Pernambuco,Northeast,-80.927.682,-34.884.335,79.0,399251.07
apartment,Pernambuco,Northeast,-81.239.701,-34.905.836,80.0,419213.6
apartment,Pernambuco,Northeast,-80.565.882,-348.781.384,176.0,1161034.64
apartment,Pernambuco,Northeast,-81.132.697,-34.896.273,136.0,474110.62
apartment,Pernambuco,Northeast,-81.413.642,-349.263.512,92.0,757196.48
apartment,Pernambuco,Northeast,-81.306.902,-349.098.391,65.0,302878.6
apartment,Pernambuco,Northeast,-8.206.632,-34.921.719,189.0,688708.09
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,112.0,728633.21
apartment,Pernambuco,Northeast,-802.765,-34.920.338,87.0,424204.24
apartment,Pernambuco,Northeast,-80.383.055,-349.146.682,,1048034.05
apartment,Pernambuco,Northeast,-8.035.134,-34.893.791,86.0,529007.65
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,79.0,449157.45
apartment,Pernambuco,Northeast,-8.030.991,-34.880.032,55.0,265965.09
apartment,Pernambuco,Northeast,-8.043.853,-34.907.928,203.0,1347472.36
apartment,Pernambuco,Northeast,-80.369,-34.884.521,64.0,339363.39
apartment,Pernambuco,Northeast,-802.765,-34.920.338,67.0,339363.39
apartment,Pernambuco,Northeast,-8.032.006,-3.489.827,175.0,998127.67
apartment,Pernambuco,Northeast,-802.765,-34.920.338,65.0,404241.69
apartment,Pernambuco,Northeast,-8.032.974,-34.924.965,189.0,1397378.74
apartment,Pernambuco,Northeast,-8.032.375,-34.906.925,226.0,1247659.6
apartment,Pernambuco,Northeast,-8.044.757,-3.489.185,179.0,658764.27
house,Pernambuco,Northeast,-846.275,-35.082.859,209.0,1593547.76
apartment,Pernambuco,Northeast,-8.035.595,-34.921.719,155.0,923268.08
apartment,Pernambuco,Northeast,-8.040.437,-34.883.881,55.0,399251.07
apartment,Pernambuco,Northeast,-8.034.929,-34.892.761,86.0,628820.41
apartment,Pernambuco,Northeast,-8.040.437,-34.883.881,56.0,399251.07
apartment,Pernambuco,Northeast,-8.040.437,-34.883.881,56.0,399251.07
apartment,Pernambuco,Northeast,-8.044.204,-34.891.396,105.0,698689.35
apartment,Pernambuco,Northeast,-80.352.674,-34.915.894,235.0,1147846.81
apartment,Pernambuco,Northeast,-80.395.221,-349.073.309,71.0,379288.51
apartment,Pernambuco,Northeast,-8.113.256,-34.897.057,55.0,444166.8
apartment,Pernambuco,Northeast,-81.238,-3.490.247,135.0,648782.97
apartment,Pernambuco,Northeast,-8.103.477,-34.888.622,85.0,1048034.05
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,140.0,828445.97
apartment,Pernambuco,Northeast,-81.395.373,-34.909.275,85.0,359325.95
apartment,Pernambuco,Northeast,-8.112.362,-34.895.853,183.0,1147846.81
apartment,Pernambuco,Northeast,-8.183.698,-34.931.366,,239550.63
apartment,Pernambuco,Northeast,-81.398.641,-34.908.659,166.0,618839.15
apartment,Pernambuco,Northeast,-81.376.548,-34.905.588,66.0,369307.22
apartment,Pernambuco,Northeast,-81.237.621,-34.903.048,,489082.54
apartment,Pernambuco,Northeast,-8.128.416,-34.903.417,82.0,494073.18
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,107.0,898314.91
apartment,Pernambuco,Northeast,-8.149.876,-34.910.686,153.0,1097940.43
apartment,Pernambuco,Northeast,-8.034.344,-34.896.725,87.0,548970.21
apartment,Pernambuco,Northeast,-81.149.776,-3.489.895,120.0,384279.13
apartment,Pernambuco,Northeast,-8.125.896,-34.900.967,,264503.81
apartment,Pernambuco,Northeast,-81.299.858,-34.903.518,98.0,519026.39
apartment,Pernambuco,Northeast,-81.221.009,-34.905.421,66.0,394260.42
apartment,Pernambuco,Northeast,-81.250.952,-34.902.995,134.0,643792.32
apartment,Pernambuco,Northeast,-81.389.668,-34.906.056,,359325.95
apartment,Pernambuco,Northeast,-8.109.666,-34.894.753,,778539.59
apartment,Pernambuco,Northeast,-8.126.271,-34.903.793,132.0,698689.35
house,Pernambuco,Northeast,-81.603.708,-349.162.064,230.0,648782.97
apartment,Pernambuco,Northeast,-8.111.414,-34.894.337,158.0,1197753.22
apartment,Pernambuco,Northeast,-8.113.888,-34.892.437,185.0,848408.53
apartment,Pernambuco,Northeast,-81.421.704,-34.907.805,108.0,648782.97
apartment,Pernambuco,Northeast,-8.110.801,-34.895.542,162.0,1058318.76
apartment,Pernambuco,Northeast,-8.152.399,-34.920.338,,546384.05
apartment,Pernambuco,Northeast,-8.040.233,-34.898.281,74.0,259513.19
house,Pernambuco,Northeast,-81.951.499,-35.563.776,215.0,374297.86
apartment,Pernambuco,Northeast,-8.101.428,-34.885.632,128.0,1197753.22
apartment,Pernambuco,Northeast,-8.089.291,-34.903.793,170.0,1247659.6
house,Pernambuco,Northeast,-81.951.499,-35.563.776,168.0,673736.18
apartment,Pernambuco,Northeast,-8.206.632,-34.921.719,134.0,1114908.62
apartment,Pernambuco,Northeast,-8.183.491,-34.921.719,170.0,648782.97
apartment,Pernambuco,Northeast,-82.007.221,-349.213.268,180.0,733623.82
house,Pernambuco,Northeast,-8.049.665,-34.931.366,100.0,349344.66
apartment,Pernambuco,Northeast,-80.449.547,-348.956.486,,499063.83
apartment,Pernambuco,Northeast,-8.037.121,-3.490.073,160.0,1097940.43
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,172.0,1197753.22
apartment,Pernambuco,Northeast,-80.369,-34.884.521,65.0,348346.53
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,98.0,499063.83
apartment,Pernambuco,Northeast,-8.062.398,-34.904.552,104.0,631315.74
apartment,Pernambuco,Northeast,-8.046.647,-34.905.537,,499063.83
apartment,Pernambuco,Northeast,-8.045.761,-34.893.982,132.0,529007.65
apartment,Pernambuco,Northeast,-8.027.162,-34.913.445,129.0,848408.53
apartment,Pernambuco,Northeast,-8.021.971,-34.931.366,172.0,1167809.37
house,Pernambuco,Northeast,-7.755.484,-34.851.379,229.0,499063.83
apartment,Pernambuco,Northeast,-802.765,-34.920.338,66.0,444166.8
apartment,Pernambuco,Northeast,-8.040.035,-34.899.654,,588895.33
apartment,Pernambuco,Northeast,-8.125.632,-34.904.846,155.0,978165.11
apartment,Pernambuco,Northeast,-81.421.911,-349.075.669,108.0,588873.77
apartment,Pernambuco,Northeast,-8.129.817,-34.914.825,106.0,784029.28
apartment,Pernambuco,Northeast,-8.029.863,-34.909.756,157.0,808483.41
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,113.0,768558.29
apartment,Pernambuco,Northeast,-8.049.665,-34.931.366,58.0,299438.28
apartment,Pernambuco,Northeast,-80.369,-34.884.521,65.0,394260.42
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,91.0,499063.83
apartment,Pernambuco,Northeast,-8.056.418,-34.909.309,113.0,918277.46
apartment,Pernambuco,Northeast,-8.067.211,-3.490.517,167.0,1197753.22
apartment,Pernambuco,Northeast,-8.044.486,-34.905.376,90.0,548970.21
apartment,Pernambuco,Northeast,-8.043.853,-34.907.928,87.0,553960.86
apartment,Pernambuco,Northeast,-8.043.853,-34.907.928,,588895.33
apartment,Pernambuco,Northeast,-8.033.291,-34.898.014,114.0,748595.73
apartment,Pernambuco,Northeast,-80.347.457,-348.972.145,102.0,667747.41
apartment,Pernambuco,Northeast,-8.049.178,-34.924.473,141.0,898314.91
apartment,Pernambuco,Northeast,-80.508.763,-349.113.739,157.0,978165.11
apartment,Pernambuco,Northeast,-802.765,-34.920.338,158.0,898314.91
apartment,Pernambuco,Northeast,-8.037.733,-34.901.905,58.0,384279.13
apartment,Pernambuco,Northeast,-80.343.998,-349.212.091,,848408.53
apartment,Pernambuco,Northeast,-80.343.998,-349.212.091,200.0,1097940.43
apartment,Pernambuco,Northeast,-80.436.724,-349.090.946,90.0,424204.24
apartment,Pernambuco,Northeast,-80.369,-34.884.521,69.0,329382.13
apartment,Pernambuco,Northeast,-80.330.615,-348.950.223,,1247659.6
apartment,Pernambuco,Northeast,-8.033.406,-34.893.208,59.0,364316.6
apartment,Pernambuco,Northeast,-80.331.805,-348.968.813,136.0,948221.29
apartment,Pernambuco,Northeast,-8.206.293,-34.936.878,,258515.04
apartment,Pernambuco,Northeast,-814.068,-34.905.975,150.0,698689.35
